,Field,Dataset,Product,Obj__Id,Moisture__,Yield
280,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,280,29.1,77.4777
281,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,281,28.9,108.3488
282,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,282,30.6,95.5821
283,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,283,29.2,104.9822
284,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,284,27.9,111.9653
285,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,285,28.4,96.8867
286,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,286,29.9,124.5781
287,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,287,30.5,88.118
288,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,288,28.3,126.0238
289,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,289,27.3,98.2419
290,M5 F3 S2 20.63,25/10/23-16:25:35 (2012384061),CORN,290,28.9,114.2335
